,First,,,,,,,,Second,,,,,,,,Third,,,,,,,,Fourth,,,,,,,,Fifth,,,,,,,
Chest,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Total Load,"4,280","4,830","4,590",0,0,,,,0,"3,960","3,230","1,950","1,490",0,0,"2,120","1,650","2,630","2,820","3,338",0,,,,"1,730","3,026","2,830","2,210","2,950",0,"3,310","3,390","4,168","4,168","4,000","3,460","3,505","4,250",,
Total Sets,11,14,13,0,0,,,,0,12,12,8,6,0,0,6,6,9,10,10,0,,,,11,10,10,7,10,0,13,13,13,13,14,12,11,12,,
Total Reps,266,204,183,0,0,,,,0,150,137,76,56,0,0,68,60,118,131,131,0,,,,136,118,116,86,123,0,156,147,145,145,155,159,151,212,,
Weights Per Rep,16,24,25,,,,,,,26,24,26,27,,,31,28,22,22,25,,,,,13,26,24,26,24,,21,23,29,29,26,22,23,20,,
Percentage Change,0%,33%,4%,,,,,,,4%,-8%,8%,4%,,,13%,-11%,-27%,0%,12%,,,,,-92%,50%,-8%,8%,-8%,,-14%,9%,21%,0%,-12%,-18%,4%,-15%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quads,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8
Total Load,"14,830","20,030","10,800","12,100","5,300",,,,"7,080","4,560","7,400","9,150",0,"10,710","3,310",0,0,"8,470","10,250",0,"5,690",,,,"13,132","11,802","14,370","16,028","13,980",0,"5,030","17,568","16,230","14,585","15,740",0,"5,760","10,765",,
Total Sets,10,15,7,5,2,,,,6,6,6,9,0,10,4,0,0,7,7,0,5,,,,11,7,9,12,9,0,7,13,17,14,13,0,7,12,,
Total Reps,98,144,70,50,20,,,,48,60,48,78,0,88,30,0,0,66,104,0,62,,,,146,66,113,128,90,0,68,155,178,131,126,0,84,183,,
